condition,level,variant,metric,rate_mean,ci_lo,ci_hi
benign,24,combined,FPR,0.6107,0.5384,0.6829
benign,24,volume,FPR,0.6107,0.5384,0.6829
benign,24,entropy,FPR,0.9663,0.9492,0.9835
benign,24,unique,FPR,1.0000,1.0000,1.0000
benign,60,combined,FPR,1.0000,1.0000,1.0000
benign,60,volume,FPR,1.0000,1.0000,1.0000
benign,60,entropy,FPR,1.0000,1.0000,1.0000
benign,60,unique,FPR,1.0000,1.0000,1.0000
benign,120,combined,FPR,1.0000,1.0000,1.0000
benign,120,volume,FPR,1.0000,1.0000,1.0000
benign,120,entropy,FPR,1.0000,1.0000,1.0000
benign,120,unique,FPR,1.0000,1.0000,1.0000
benign,200,combined,FPR,1.0000,1.0000,1.0000
benign,200,volume,FPR,1.0000,1.0000,1.0000
benign,200,entropy,FPR,1.0000,1.0000,1.0000
benign,200,unique,FPR,1.0000,1.0000,1.0000
attack_sweep,24,combined,TPR,0.5867,0.4977,0.6756
attack_sweep,24,volume,TPR,0.5867,0.4977,0.6756
attack_sweep,24,entropy,TPR,0.9617,0.9390,0.9843
attack_sweep,24,unique,TPR,1.0000,1.0000,1.0000
attack_sweep,60,combined,TPR,1.0000,1.0000,1.0000
attack_sweep,60,volume,TPR,1.0000,1.0000,1.0000
attack_sweep,60,entropy,TPR,1.0000,1.0000,1.0000
attack_sweep,60,unique,TPR,1.0000,1.0000,1.0000
attack_sweep,120,combined,TPR,1.0000,1.0000,1.0000
attack_sweep,120,volume,TPR,1.0000,1.0000,1.0000
attack_sweep,120,entropy,TPR,1.0000,1.0000,1.0000
attack_sweep,120,unique,TPR,1.0000,1.0000,1.0000
attack_sweep,200,combined,TPR,1.0000,1.0000,1.0000
attack_sweep,200,volume,TPR,1.0000,1.0000,1.0000
attack_sweep,200,entropy,TPR,1.0000,1.0000,1.0000
attack_sweep,200,unique,TPR,1.0000,1.0000,1.0000
attack_random,24,combined,TPR,0.5703,0.4964,0.6443
attack_random,24,volume,TPR,0.5703,0.4964,0.6443
attack_random,24,entropy,TPR,0.9773,0.9599,0.9947
attack_random,24,unique,TPR,1.0000,1.0000,1.0000
attack_random,60,combined,TPR,1.0000,1.0000,1.0000
attack_random,60,volume,TPR,1.0000,1.0000,1.0000
attack_random,60,entropy,TPR,1.0000,1.0000,1.0000
attack_random,60,unique,TPR,1.0000,1.0000,1.0000
attack_random,120,combined,TPR,1.0000,1.0000,1.0000
attack_random,120,volume,TPR,1.0000,1.0000,1.0000
attack_random,120,entropy,TPR,1.0000,1.0000,1.0000
attack_random,120,unique,TPR,1.0000,1.0000,1.0000
attack_random,200,combined,TPR,1.0000,1.0000,1.0000
attack_random,200,volume,TPR,1.0000,1.0000,1.0000
attack_random,200,entropy,TPR,1.0000,1.0000,1.0000
attack_random,200,unique,TPR,1.0000,1.0000,1.0000
attack_fixed,24,combined,TPR,0.0000,0.0000,0.0000
attack_fixed,24,volume,TPR,0.5870,0.5061,0.6679
attack_fixed,24,entropy,TPR,0.0000,0.0000,0.0000
attack_fixed,24,unique,TPR,0.0000,0.0000,0.0000
attack_fixed,60,combined,TPR,0.0000,0.0000,0.0000
attack_fixed,60,volume,TPR,1.0000,1.0000,1.0000
attack_fixed,60,entropy,TPR,0.0000,0.0000,0.0000
attack_fixed,60,unique,TPR,0.0000,0.0000,0.0000
attack_fixed,120,combined,TPR,0.0000,0.0000,0.0000
attack_fixed,120,volume,TPR,1.0000,1.0000,1.0000
attack_fixed,120,entropy,TPR,0.0000,0.0000,0.0000
attack_fixed,120,unique,TPR,0.0000,0.0000,0.0000
attack_fixed,200,combined,TPR,0.0000,0.0000,0.0000
attack_fixed,200,volume,TPR,1.0000,1.0000,1.0000
attack_fixed,200,entropy,TPR,0.0000,0.0000,0.0000
attack_fixed,200,unique,TPR,0.0000,0.0000,0.0000
attack_bursty,24,combined,TPR,0.8193,0.7569,0.8818
attack_bursty,24,volume,TPR,0.8193,0.7569,0.8818
attack_bursty,24,entropy,TPR,0.9840,0.9709,0.9971
attack_bursty,24,unique,TPR,1.0000,1.0000,1.0000
attack_bursty,60,combined,TPR,1.0000,1.0000,1.0000
attack_bursty,60,volume,TPR,1.0000,1.0000,1.0000
attack_bursty,60,entropy,TPR,1.0000,1.0000,1.0000
attack_bursty,60,unique,TPR,1.0000,1.0000,1.0000
attack_bursty,120,combined,TPR,1.0000,1.0000,1.0000
attack_bursty,120,volume,TPR,1.0000,1.0000,1.0000
attack_bursty,120,entropy,TPR,1.0000,1.0000,1.0000
attack_bursty,120,unique,TPR,1.0000,1.0000,1.0000
attack_bursty,200,combined,TPR,1.0000,1.0000,1.0000
attack_bursty,200,volume,TPR,1.0000,1.0000,1.0000
attack_bursty,200,entropy,TPR,1.0000,1.0000,1.0000
attack_bursty,200,unique,TPR,1.0000,1.0000,1.0000
